,Name,State,Conference,PrivatePublic,Year,Rank
3957,Duke University,NC,ACC,Private,1999,6
3958,Brown University,RI,Ivy League,Private,1999,10
3959,Johns Hopkins University,MD,Centennial,Private,1999,14
3960,Northwestern University,IL,Big 10,Private,1999,10
3961,Columbia University,NY,Ivy League,Private,1999,10
3962,Cornell University,NY,Ivy League,Private,1999,6
3963,University of Chicago,IL,UAA,Private,1999,14
3964,University of California-Berkeley,CA,ACC,Public,1999,22
3965,University of California-Los Angeles,CA,Big 10,Public,1999,25
3966,Rice University,TX,AAC,Private,1999,18
3967,Dartmouth College,NH,Ivy League,Private,1999,10
3968,Vanderbilt University,TN,SEC,Private,1999,20
3969,University of Notre Dame,IN,ACC,Private,1999,18
3970,University of Michigan-Ann Arbor,MI,Big 10,Public,1999,25
3971,Georgetown University,DC,Big East,Private,1999,20
3972,University of North Carolina-Chapel Hill,NC,ACC,Public,1999,24
3973,Carnegie Mellon University,PA,UAA,Private,1999,25
3974,Emory University,GA,UAA,Private,1999,16
3975,University of Virginia,VA,ACC,Public,1999,22
3976,Washington University in St. Louis,MO,UAA,Private,1999,16
3977,University of California-Davis,CA,BWC,Public,1999,44
3978,University of California-San Diego,CA,BWC,Public,1999,32
3980,University of Southern California,CA,Big 10,Private,1999,41
3982,Georgia Institute of Technology,GA,ACC,Public,1999,46
3983,University of California-Irvine,CA,BWC,Public,1999,36
3984,New York University,NY,UAA,Private,1999,35
3985,University of California-Santa Barbara,CA,BWC,Public,1999,47
3986,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1999,42
3987,University of Wisconsin-Madison,WI,Big 10,Public,1999,36
3988,Boston College,MA,ACC,Private,1999,36
3990,Tufts University,MA,NESCAC,Private,1999,25
3996,Lehigh University,PA,Patriot,Private,1999,36
3999,University of Rochester,NY,UAA,Private,1999,29
4001,Wake Forest University,NC,ACC,Private,1999,29
4002,Case Western Reserve University,OH,UAA,Private,1999,34
4003,College of William and Mary,VA,CAA,Public,1999,33
4009,Brandeis University,MA,UAA,Private,1999,31
4012,Pennsylvania State University-University Park,PA,Big 10,Public,1999,44
4013,Rensselaer Polytechnic Institute,NY,Liberty,Private,1999,49
4016,George Washington University,DC,A-10,Private,1999,50
4017,Syracuse University,NY,ACC,Private,1999,47
4024,Tulane University,LA,AAC,Private,1999,36
4063,Yeshiva University,NY,,Private,1999,42
4108,Princeton University,NJ,Ivy League,Private,1998,1
4109,Massachusetts Institute of Technology,MA,NEWMAC,Private,1998,6
4110,Harvard University,MA,Ivy League,Private,1998,1
4111,Stanford University,CA,ACC,Private,1998,5
4112,Yale University,CT,Ivy League,Private,1998,3
4113,University of Pennsylvania,PA,Ivy League,Private,1998,7
4114,California Institute of Technology,CA,SCIAC,Private,1998,9
4115,Duke University,NC,ACC,Private,1998,3
4116,Brown University,RI,Ivy League,Private,1998,9
4117,Johns Hopkins University,MD,Centennial,Private,1998,14
4118,Northwestern University,IL,Big 10,Private,1998,9
4119,Columbia University,NY,Ivy League,Private,1998,9
4120,Cornell University,NY,Ivy League,Private,1998,14
4121,University of Chicago,IL,UAA,Private,1998,14
4122,University of California-Berkeley,CA,ACC,Public,1998,23
4123,University of California-Los Angeles,CA,Big 10,Public,1998,28
4124,Rice University,TX,AAC,Private,1998,17
4125,Dartmouth College,NH,Ivy League,Private,1998,7
4126,Vanderbilt University,TN,SEC,Private,1998,19
4127,University of Notre Dame,IN,ACC,Private,1998,19
4128,University of Michigan-Ann Arbor,MI,Big 10,Public,1998,23
4129,Georgetown University,DC,Big East,Private,1998,21
4130,University of North Carolina-Chapel Hill,NC,ACC,Public,1998,27
4131,Carnegie Mellon University,PA,UAA,Private,1998,23
4132,Emory University,GA,UAA,Private,1998,9
4133,University of Virginia,VA,ACC,Public,1998,21
4134,Washington University in St. Louis,MO,UAA,Private,1998,17
4135,University of California-Davis,CA,BWC,Public,1998,41
4136,University of California-San Diego,CA,BWC,Public,1998,33
4138,University of Southern California,CA,Big 10,Private,1998,41
4140,Georgia Institute of Technology,GA,ACC,Public,1998,41
4141,University of California-Irvine,CA,BWC,Public,1998,41
4142,New York University,NY,UAA,Private,1998,34
4143,University of California-Santa Barbara,CA,BWC,Public,1998,47
4144,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1998,45
4145,University of Wisconsin-Madison,WI,Big 10,Public,1998,38
4146,Boston College,MA,ACC,Private,1998,38
4148,Tufts University,MA,NESCAC,Private,1998,23
4154,Lehigh University,PA,Patriot,Private,1998,34
4157,University of Rochester,NY,UAA,Private,1998,31
4159,Wake Forest University,NC,ACC,Private,1998,28
4160,Case Western Reserve University,OH,UAA,Private,1998,37
4161,College of William and Mary,VA,CAA,Public,1998,32
4167,Brandeis University,MA,UAA,Private,1998,28
4170,Pennsylvania State University-University Park,PA,Big 10,Public,1998,45
4171,Rensselaer Polytechnic Institute,NY,Liberty,Private,1998,48
4175,Syracuse University,NY,ACC,Private,1998,40
4182,Tulane University,LA,AAC,Private,1998,34
4192,Worcester Polytechnic Institute,MA,NEWMAC,Private,1998,48
4221,Yeshiva University,NY,,Private,1998,48
4266,Princeton University,NJ,Ivy League,Private,1997,2
4267,Massachusetts Institute of Technology,MA,NEWMAC,Private,1997,5
4268,Harvard University,MA,Ivy League,Private,1997,3
4269,Stanford University,CA,ACC,Private,1997,6
4270,Yale University,CT,Ivy League,Private,1997,1
4271,University of Pennsylvania,PA,Ivy League,Private,1997,13
4272,California Institute of Technology,CA,SCIAC,Private,1997,9
4273,Duke University,NC,ACC,Private,1997,4
4274,Brown University,RI,Ivy League,Private,1997,8
4275,Johns Hopkins University,MD,Centennial,Private,1997,15
4276,Northwestern University,IL,Big 10,Private,1997,9
4277,Columbia University,NY,Ivy League,Private,1997,11
4278,Cornell University,NY,Ivy League,Private,1997,14
4279,University of Chicago,IL,UAA,Private,1997,12
4280,University of California-Berkeley,CA,ACC,Public,1997,27
4281,University of California-Los Angeles,CA,Big 10,Public,1997,31
4282,Rice University,TX,AAC,Private,1997,16
4283,Dartmouth College,NH,Ivy League,Private,1997,7
4284,Vanderbilt University,TN,SEC,Private,1997,20
4285,University of Notre Dame,IN,ACC,Private,1997,17
4286,University of Michigan-Ann Arbor,MI,Big 10,Public,1997,24
4287,Georgetown University,DC,Big East,Private,1997,23
4288,University of North Carolina-Chapel Hill,NC,ACC,Public,1997,25
4289,Carnegie Mellon University,PA,UAA,Private,1997,28
4290,Emory University,GA,UAA,Private,1997,19
4291,University of Virginia,VA,ACC,Public,1997,21
4292,Washington University in St. Louis,MO,UAA,Private,1997,17
4293,University of California-Davis,CA,BWC,Public,1997,40
4294,University of California-San Diego,CA,BWC,Public,1997,34
4296,University of Southern California,CA,Big 10,Private,1997,43
4298,Georgia Institute of Technology,GA,ACC,Public,1997,48
4299,University of California-Irvine,CA,BWC,Public,1997,37
4300,New York University,NY,UAA,Private,1997,35
4301,University of California-Santa Barbara,CA,BWC,Public,1997,46
4302,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1997,50
4303,University of Wisconsin-Madison,WI,Big 10,Public,1997,41
4304,Boston College,MA,ACC,Private,1997,38
4306,Tufts University,MA,NESCAC,Private,1997,22
4307,University of Washington,WA,Big 10,Public,1997,42
4312,Lehigh University,PA,Patriot,Private,1997,32
4313,Texas A&M University-College Station,TX,SEC,Public,1997,48
4315,University of Rochester,NY,UAA,Private,1997,30
4317,Wake Forest University,NC,ACC,Private,1997,25
4318,Case Western Reserve University,OH,UAA,Private,1997,38
4319,College of William and Mary,VA,CAA,Public,1997,33
4325,Brandeis University,MA,UAA,Private,1997,29
4332,George Washington University,DC,A-10,Private,1997,46
4333,Syracuse University,NY,ACC,Private,1997,44
4340,Tulane University,LA,AAC,Private,1997,36
4379,Yeshiva University,NY,,Private,1997,45
4424,Princeton University,NJ,Ivy League,Private,1996,2
4425,Massachusetts Institute of Technology,MA,NEWMAC,Private,1996,5
4426,Harvard University,MA,Ivy League,Private,1996,1
4427,Stanford University,CA,ACC,Private,1996,4
4428,Yale University,CT,Ivy League,Private,1996,2
4429,University of Pennsylvania,PA,Ivy League,Private,1996,11
4430,California Institute of Technology,CA,SCIAC,Private,1996,7
4431,Duke University,NC,ACC,Private,1996,6
4432,Brown University,RI,Ivy League,Private,1996,9
4433,Johns Hopkins University,MD,Centennial,Private,1996,10
4434,Northwestern University,IL,Big 10,Private,1996,13
4435,Columbia University,NY,Ivy League,Private,1996,15
4436,Cornell University,NY,Ivy League,Private,1996,13
4437,University of Chicago,IL,UAA,Private,1996,11
4438,University of California-Berkeley,CA,ACC,Public,1996,26
4439,University of California-Los Angeles,CA,Big 10,Public,1996,28
4440,Rice University,TX,AAC,Private,1996,16
4441,Dartmouth College,NH,Ivy League,Private,1996,7
4442,Vanderbilt University,TN,SEC,Private,1996,22
4443,University of Notre Dame,IN,ACC,Private,1996,18
4444,University of Michigan-Ann Arbor,MI,Big 10,Public,1996,24
4445,Georgetown University,DC,Big East,Private,1996,21
4446,University of North Carolina-Chapel Hill,NC,ACC,Public,1996,27
4447,Carnegie Mellon University,PA,UAA,Private,1996,23
4448,Emory University,GA,UAA,Private,1996,17
4449,University of Virginia,VA,ACC,Public,1996,19
4450,Washington University in St. Louis,MO,UAA,Private,1996,20
4451,University of California-Davis,CA,BWC,Public,1996,40
4452,University of California-San Diego,CA,BWC,Public,1996,43
4453,University of Florida,FL,SEC,Public,1996,47
4454,University of Southern California,CA,Big 10,Private,1996,44
4456,Georgia Institute of Technology,GA,ACC,Public,1996,42
4457,University of California-Irvine,CA,BWC,Public,1996,48
4458,New York University,NY,UAA,Private,1996,36
4460,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1996,45
4461,University of Wisconsin-Madison,WI,Big 10,Public,1996,32
4462,Boston College,MA,ACC,Private,1996,37
4463,Rutgers University-New Brunswick,NJ,Big 10,Public,1996,45
4464,Tufts University,MA,NESCAC,Private,1996,25
4465,University of Washington,WA,Big 10,Public,1996,50
4470,Lehigh University,PA,Patriot,Private,1996,33
4473,University of Rochester,NY,UAA,Private,1996,29
4475,Wake Forest University,NC,ACC,Private,1996,31
4476,Case Western Reserve University,OH,UAA,Private,1996,35
4477,College of William and Mary,VA,CAA,Public,1996,34
4483,Brandeis University,MA,UAA,Private,1996,30
4486,Pennsylvania State University-University Park,PA,Big 10,Public,1996,41
4487,Rensselaer Polytechnic Institute,NY,Liberty,Private,1996,39
4491,Syracuse University,NY,ACC,Private,1996,49
4498,Tulane University,LA,AAC,Private,1996,38
4582,Princeton University,NJ,Ivy League,Private,1995,2
4583,Massachusetts Institute of Technology,MA,NEWMAC,Private,1995,4
4584,Harvard University,MA,Ivy League,Private,1995,1
4585,Stanford University,CA,ACC,Private,1995,5
4586,Yale University,CT,Ivy League,Private,1995,3
4587,University of Pennsylvania,PA,Ivy League,Private,1995,12
4588,California Institute of Technology,CA,SCIAC,Private,1995,7
4589,Duke University,NC,ACC,Private,1995,6
4590,Brown University,RI,Ivy League,Private,1995,11
4591,Johns Hopkins University,MD,Centennial,Private,1995,22
4592,Northwestern University,IL,Big 10,Private,1995,14
4593,Columbia University,NY,Ivy League,Private,1995,9
4594,Cornell University,NY,Ivy League,Private,1995,15
4595,University of Chicago,IL,UAA,Private,1995,10
4596,University of California-Berkeley,CA,ACC,Public,1995,23
4598,Rice University,TX,AAC,Private,1995,12
4599,Dartmouth College,NH,Ivy League,Private,1995,8
4600,Vanderbilt University,TN,SEC,Private,1995,18
4601,University of Notre Dame,IN,ACC,Private,1995,19
4602,University of Michigan-Ann Arbor,MI,Big 10,Public,1995,21
4603,Georgetown University,DC,Big East,Private,1995,25
4605,Carnegie Mellon University,PA,UAA,Private,1995,24
4606,Emory University,GA,UAA,Private,1995,16
4607,University of Virginia,VA,ACC,Public,1995,17
4608,Washington University in St. Louis,MO,UAA,Private,1995,20
4740,Princeton University,NJ,Ivy League,Private,1994,2
4741,Massachusetts Institute of Technology,MA,NEWMAC,Private,1994,4
4742,Harvard University,MA,Ivy League,Private,1994,1
4743,Stanford University,CA,ACC,Private,1994,6
4744,Yale University,CT,Ivy League,Private,1994,3
4745,University of Pennsylvania,PA,Ivy League,Private,1994,16
4746,California Institute of Technology,CA,SCIAC,Private,1994,5
4747,Duke University,NC,ACC,Private,1994,7
4748,Brown University,RI,Ivy League,Private,1994,12
4749,Johns Hopkins University,MD,Centennial,Private,1994,15
4750,Northwestern University,IL,Big 10,Private,1994,13
4751,Columbia University,NY,Ivy League,Private,1994,11
4752,Cornell University,NY,Ivy League,Private,1994,10
4753,University of Chicago,IL,UAA,Private,1994,9
4754,University of California-Berkeley,CA,ACC,Public,1994,19
4755,University of California-Los Angeles,CA,Big 10,Public,1994,22
4756,Rice University,TX,AAC,Private,1994,14
4757,Dartmouth College,NH,Ivy League,Private,1994,8
4758,Vanderbilt University,TN,SEC,Private,1994,20
4759,University of Notre Dame,IN,ACC,Private,1994,25
4760,University of Michigan-Ann Arbor,MI,Big 10,Public,1994,23
4761,Georgetown University,DC,Big East,Private,1994,17
4763,Carnegie Mellon University,PA,UAA,Private,1994,24
4764,Emory University,GA,UAA,Private,1994,25
4765,University of Virginia,VA,ACC,Public,1994,21
4766,Washington University in St. Louis,MO,UAA,Private,1994,18
4898,Princeton University,NJ,Ivy League,Private,1993,2
4899,Massachusetts Institute of Technology,MA,NEWMAC,Private,1993,5
4900,Harvard University,MA,Ivy League,Private,1993,1
4901,Stanford University,CA,ACC,Private,1993,4
4902,Yale University,CT,Ivy League,Private,1993,3
4903,University of Pennsylvania,PA,Ivy League,Private,1993,14
4904,California Institute of Technology,CA,SCIAC,Private,1993,5
4905,Duke University,NC,ACC,Private,1993,7
4906,Brown University,RI,Ivy League,Private,1993,18
4907,Johns Hopkins University,MD,Centennial,Private,1993,15
4908,Northwestern University,IL,Big 10,Private,1993,13
4909,Columbia University,NY,Ivy League,Private,1993,10
4910,Cornell University,NY,Ivy League,Private,1993,11
4911,University of Chicago,IL,UAA,Private,1993,9
4912,University of California-Berkeley,CA,ACC,Public,1993,16
4913,University of California-Los Angeles,CA,Big 10,Public,1993,23
4914,Rice University,TX,AAC,Private,1993,12
4915,Dartmouth College,NH,Ivy League,Private,1993,7
4916,Vanderbilt University,TN,SEC,Private,1993,25
4918,University of Michigan-Ann Arbor,MI,Big 10,Public,1993,24
4919,Georgetown University,DC,Big East,Private,1993,17
4921,Carnegie Mellon University,PA,UAA,Private,1993,19
4922,Emory University,GA,UAA,Private,1993,21
4923,University of Virginia,VA,ACC,Public,1993,22
4924,Washington University in St. Louis,MO,UAA,Private,1993,20
5056,Princeton University,NJ,Ivy League,Private,1992,4
5057,Massachusetts Institute of Technology,MA,NEWMAC,Private,1992,6
5058,Harvard University,MA,Ivy League,Private,1992,1
5059,Stanford University,CA,ACC,Private,1992,3
5060,Yale University,CT,Ivy League,Private,1992,2
5061,University of Pennsylvania,PA,Ivy League,Private,1992,13
5062,California Institute of Technology,CA,SCIAC,Private,1992,4
5063,Duke University,NC,ACC,Private,1992,7
5064,Brown University,RI,Ivy League,Private,1992,17
5065,Johns Hopkins University,MD,Centennial,Private,1992,11
5066,Northwestern University,IL,Big 10,Private,1992,14
5067,Columbia University,NY,Ivy League,Private,1992,9
5068,Cornell University,NY,Ivy League,Private,1992,12
5069,University of Chicago,IL,UAA,Private,1992,10
5070,University of California-Berkeley,CA,ACC,Public,1992,16
5071,University of California-Los Angeles,CA,Big 10,Public,1992,23
5072,Rice University,TX,AAC,Private,1992,15
5073,Dartmouth College,NH,Ivy League,Private,1992,8
5074,Vanderbilt University,TN,SEC,Private,1992,19
5076,University of Michigan-Ann Arbor,MI,Big 10,Public,1992,22
5077,Georgetown University,DC,Big East,Private,1992,19
5078,University of North Carolina-Chapel Hill,NC,ACC,Public,1992,25
5079,Carnegie Mellon University,PA,UAA,Private,1992,24
5081,University of Virginia,VA,ACC,Public,1992,21
5082,Washington University in St. Louis,MO,UAA,Private,1992,18
5214,Princeton University,NJ,Ivy League,Private,1991,4
5215,Massachusetts Institute of Technology,MA,NEWMAC,Private,1991,6
5216,Harvard University,MA,Ivy League,Private,1991,1
5217,Stanford University,CA,ACC,Private,1991,2
5218,Yale University,CT,Ivy League,Private,1991,3
5219,University of Pennsylvania,PA,Ivy League,Private,1991,13
5220,California Institute of Technology,CA,SCIAC,Private,1991,5
5221,Duke University,NC,ACC,Private,1991,7
5222,Brown University,RI,Ivy League,Private,1991,12
5223,Johns Hopkins University,MD,Centennial,Private,1991,15
5224,Northwestern University,IL,Big 10,Private,1991,23
5225,Columbia University,NY,Ivy League,Private,1991,10
5226,Cornell University,NY,Ivy League,Private,1991,9
5227,University of Chicago,IL,UAA,Private,1991,11
5228,University of California-Berkeley,CA,ACC,Public,1991,13
5229,University of California-Los Angeles,CA,Big 10,Public,1991,17
5230,Rice University,TX,AAC,Private,1991,16
5231,Dartmouth College,NH,Ivy League,Private,1991,8
5234,University of Michigan-Ann Arbor,MI,Big 10,Public,1991,21
5235,Georgetown University,DC,Big East,Private,1991,19
5236,University of North Carolina-Chapel Hill,NC,ACC,Public,1991,20
5237,Carnegie Mellon University,PA,UAA,Private,1991,22
5239,University of Virginia,VA,ACC,Public,1991,18
5240,Washington University in St. Louis,MO,UAA,Private,1991,24
5263,University of Rochester,NY,UAA,Private,1991,25
5372,Princeton University,NJ,Ivy League,Private,1990,2
5373,Massachusetts Institute of Technology,MA,NEWMAC,Private,1990,7
5374,Harvard University,MA,Ivy League,Private,1990,3
5375,Stanford University,CA,ACC,Private,1990,6
5376,Yale University,CT,Ivy League,Private,1990,1
5377,University of Pennsylvania,PA,Ivy League,Private,1990,20
5378,California Institute of Technology,CA,SCIAC,Private,1990,4
5379,Duke University,NC,ACC,Private,1990,5
5380,Brown University,RI,Ivy League,Private,1990,15
5381,Johns Hopkins University,MD,Centennial,Private,1990,14
5382,Northwestern University,IL,Big 10,Private,1990,19
5383,Columbia University,NY,Ivy League,Private,1990,11
5384,Cornell University,NY,Ivy League,Private,1990,11
5385,University of Chicago,IL,UAA,Private,1990,9
5386,University of California-Berkeley,CA,ACC,Public,1990,13
5387,University of California-Los Angeles,CA,Big 10,Public,1990,16
5388,Rice University,TX,AAC,Private,1990,10
5389,Dartmouth College,NH,Ivy League,Private,1990,8
5390,Vanderbilt University,TN,SEC,Private,1990,24
5391,University of Notre Dame,IN,ACC,Private,1990,23
5392,University of Michigan-Ann Arbor,MI,Big 10,Public,1990,17
5393,Georgetown University,DC,Big East,Private,1990,25
5394,University of North Carolina-Chapel Hill,NC,ACC,Public,1990,18
5397,University of Virginia,VA,ACC,Public,1990,21
5398,Washington University in St. Louis,MO,UAA,Private,1990,22
5530,Princeton University,NJ,Ivy League,Private,1989,2
5531,Massachusetts Institute of Technology,MA,NEWMAC,Private,1989,5
5532,Harvard University,MA,Ivy League,Private,1989,4
5533,Stanford University,CA,ACC,Private,1989,6
5534,Yale University,CT,Ivy League,Private,1989,1
5535,University of Pennsylvania,PA,Ivy League,Private,1989,15
5536,California Institute of Technology,CA,SCIAC,Private,1989,3
5537,Duke University,NC,ACC,Private,1989,12
5538,Brown University,RI,Ivy League,Private,1989,13
5539,Johns Hopkins University,MD,Centennial,Private,1989,11
5540,Northwestern University,IL,Big 10,Private,1989,16
5541,Columbia University,NY,Ivy League,Private,1989,8
5542,Cornell University,NY,Ivy League,Private,1989,14
5543,University of Chicago,IL,UAA,Private,1989,10
5544,University of California-Berkeley,CA,ACC,Public,1989,24
5545,University of California-Los Angeles,CA,Big 10,Public,1989,21
5546,Rice University,TX,AAC,Private,1989,9
5547,Dartmouth College,NH,Ivy League,Private,1989,7
5549,University of Notre Dame,IN,ACC,Private,1989,18
5550,University of Michigan-Ann Arbor,MI,Big 10,Public,1989,25
5551,Georgetown University,DC,Big East,Private,1989,17
5552,University of North Carolina-Chapel Hill,NC,ACC,Public,1989,23
5554,Emory University,GA,UAA,Private,1989,22
5555,University of Virginia,VA,ACC,Public,1989,20
5556,Washington University in St. Louis,MO,UAA,Private,1989,19
5688,Princeton University,NJ,Ivy League,Private,1988,4
5689,Massachusetts Institute of Technology,MA,NEWMAC,Private,1988,11
5690,Harvard University,MA,Ivy League,Private,1988,2
5691,Stanford University,CA,ACC,Private,1988,1
5692,Yale University,CT,Ivy League,Private,1988,3
5693,University of Pennsylvania,PA,Ivy League,Private,1988,19
5694,California Institute of Technology,CA,SCIAC,Private,1988,21
5695,Duke University,NC,ACC,Private,1988,7
5696,Brown University,RI,Ivy League,Private,1988,10
5697,Johns Hopkins University,MD,Centennial,Private,1988,16
5698,Northwestern University,IL,Big 10,Private,1988,17
5699,Columbia University,NY,Ivy League,Private,1988,18
5700,Cornell University,NY,Ivy League,Private,1988,11
5701,University of Chicago,IL,UAA,Private,1988,8
5702,University of California-Berkeley,CA,ACC,Public,1988,5
5704,Rice University,TX,AAC,Private,1988,14
5705,Dartmouth College,NH,Ivy League,Private,1988,6
5708,University of Michigan-Ann Arbor,MI,Big 10,Public,1988,8
5710,University of North Carolina-Chapel Hill,NC,ACC,Public,1988,11
5712,Emory University,GA,UAA,Private,1988,25
5713,University of Virginia,VA,ACC,Public,1988,15
5714,Washington University in St. Louis,MO,UAA,Private,1988,23
5719,University of Texas-Austin,TX,SEC,Public,1988,25
5724,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1988,20
5725,University of Wisconsin-Madison,WI,Big 10,Public,1988,23
5741,College of William and Mary,VA,CAA,Public,1988,22
5846,Princeton University,NJ,Ivy League,Private,1986,4
5848,Harvard University,MA,Ivy League,Private,1986,2
5849,Stanford University,CA,ACC,Private,1986,1
5850,Yale University,CT,Ivy League,Private,1986,2
5853,Duke University,NC,ACC,Private,1986,6
5854,Brown University,RI,Ivy League,Private,1986,7
5859,University of Chicago,IL,UAA,Private,1986,5
5860,University of California-Berkeley,CA,ACC,Public,1986,7
5863,Dartmouth College,NH,Ivy League,Private,1986,10
5868,University of North Carolina-Chapel Hill,NC,ACC,Public,1986,9
6004,Princeton University,NJ,Ivy League,Private,1984,4
6005,Massachusetts Institute of Technology,MA,NEWMAC,Private,1984,10
6006,Harvard University,MA,Ivy League,Private,1984,2
6007,Stanford University,CA,ACC,Private,1984,1
6008,Yale University,CT,Ivy League,Private,1984,3
6010,California Institute of Technology,CA,SCIAC,Private,1984,12
6016,Cornell University,NY,Ivy League,Private,1984,8
6017,University of Chicago,IL,UAA,Private,1984,6
6018,University of California-Berkeley,CA,ACC,Public,1984,5
6021,Dartmouth College,NH,Ivy League,Private,1984,10
6024,University of Michigan-Ann Arbor,MI,Big 10,Public,1984,7
6027,Carnegie Mellon University,PA,UAA,Private,1984,13
6040,University of Illinois-Urbana-Champaign,IL,Big 10,Public,1984,8
6041,University of Wisconsin-Madison,WI,Big 10,Public,1984,13
